ENST00000221496	NM_000479.3	AMH
ENST00000257863	NM_020547.2	AMHR2
ENST00000356289	NM_001098526.1	AMICA1
ENST00000369862	NM_020703.2	AMIGO1
ENST00000266581	NM_181847.4	AMIGO2
ENST00000320431	NM_198722.2	AMIGO3
ENST00000393001	NM_031445.2	AMMECR1L
ENST00000262844	NM_015365.2	AMMECR1
ENST00000281471	NM_001113402.1	AMN1
ENST00000299155	NM_030943.3	AMN
ENST00000433060	NM_130847.2	AMOTL1
ENST00000249883	NM_016201.3	AMOTL2
ENST00000371959	NM_001113490.1	AMOT
ENST00000353928	NM_000036.2	AMPD1
ENST00000256578	NM_004037.7	AMPD2
ENST00000396554	NM_000480.2	AMPD3
ENST00000356264	NM_001635.3	AMPH
ENST00000273588	NM_000481.3	AMT
ENST00000339336	NM_212557.2	AMTN
ENST00000330330	NM_001008218.1	AMY1B
ENST00000370079	NM_001008219.1	AMY1C
ENST00000414303	NM_000699.2	AMY2A
ENST00000361355	NM_020978.4	AMY2B
ENST00000312371	NM_133463.1	AMZ1
ENST00000580753	NM_001033571.1	AMZ2
ENST00000309439	NM_014885.4	ANAPC10
ENST00000357385	NM_001002244.1	ANAPC11
ENST00000354910	NM_015391.3	ANAPC13
ENST00000299381	NM_001242547.1	ANAPC16
ENST00000341068	NM_022662.3	ANAPC1
ENST00000323927	NM_013366.3	ANAPC2
ENST00000315368	NM_013367.2	ANAPC4
ENST00000261819	NM_016237.4	ANAPC5
ENST00000455511	NM_016238.2	ANAPC7
ENST00000251089	NM_015305.3	ANGEL1
ENST00000366962	NM_144567.3	ANGEL2
ENST00000397990	NM_001097577.2	ANG
ENST00000517746	NM_001146.3	ANGPT1
ENST00000415216	NM_001147.2	ANGPT2
ENST00000381922	NM_015985.2	ANGPT4
ENST00000234816	NM_004673.3	ANGPTL1
ENST00000373425	NM_012098.2	ANGPTL2
ENST00000371129	NM_014495.3	ANGPTL3
ENST00000301455	NM_139314.1	ANGPTL4
ENST00000334289	NM_178127.4	ANGPTL5
ENST00000253109	NM_031917.2	ANGPTL6
ENST00000376819	NM_021146.3	ANGPTL7
