Gene	Transcripts
ALPL	NM_000478.4
ALPP	NM_001632.3
ALPPL2	NM_031313.2
ALS2	NM_020919.3
ALS2CL	NM_147129.3
ALS2CR11	NM_001168221.1
ALS2CR12	NM_001127391.1
ALS2CR8	NM_001104586.1
ALX1	NM_006982.2
ALX3	NM_006492.2
ALX4	NM_021926.3
ALYREF	NM_005782.3
AMACR	NM_001167595.1
AMBN	NM_016519.5
AMBP	NM_001633.3
AMBRA1	NM_017749.3
AMD1	NM_001634.4
AMDHD1	NM_152435.2
AMDHD2	NM_001145815.1
AMELX	NM_182680.1
AMELY	NM_001143.1
AMER1	NM_152424.3
AMFR	NM_001144.5
AMH	NM_000479.3
AMHR2	NM_020547.2
AMICA1	NM_001098526.1
AMIGO1	NM_020703.2
AMIGO2	NM_181847.4
AMIGO3	NM_198722.2
AMMECR1	NM_015365.2
AMMECR1L	NM_031445.2
AMN	NM_030943.3
AMN1	NM_001113402.1
AMOT	NM_001113490.1
AMOTL1	NM_130847.2
AMOTL2	NM_016201.3
AMPD1	NM_000036.2
AMPD2	NM_004037.7
AMPD3	NM_000480.2
AMPH	NM_001635.3
AMT	NM_000481.3
AMTN	NM_212557.2
AMY1B	NM_001008218.1
AMY1C	NM_001008219.1
AMY2A	NM_000699.2
AMY2B	NM_020978.4
AMZ1	NM_133463.1
AMZ2	NM_001033571.1
ANAPC1	NM_022662.3
ANAPC10	NM_014885.4
ANAPC11	NM_001002244.1
ANAPC13	NM_015391.3
ANAPC16	NM_001242547.1
ANAPC2	NM_013366.3
ANAPC4	NM_013367.2
ANAPC5	NM_016237.4
ANAPC7	NM_016238.2
ANG	NM_001097577.2
ANGEL1	NM_015305.3
ANGEL2	NM_144567.3
ANGPT1	NM_001146.3
ANGPT2	NM_001147.2
ANGPT4	NM_015985.2
ANGPTL1	NM_004673.3
ANGPTL2	NM_012098.2
ANGPTL3	NM_014495.3
ANGPTL4	NM_139314.1
ANGPTL5	NM_178127.4
ANGPTL6	NM_031917.2
ANGPTL7	NM_021146.3
ANK1	NM_001142446.1
ANK2	NM_001148.4
ANK3	NM_020987.3
ANKAR	NM_144708.3
ANKDD1A	NM_182703.3
ANKFN1	NM_153228.2
ANKFY1	NM_016376.3
ANKH	NM_054027.4
ANKHD1-EIF4EBP3	NM_020690.5
ANKIB1	NM_019004.1
ANKK1	NM_178510.1
ANKLE1	NM_152363.5
ANKLE2	NM_015114.1
ANKMY1	NM_016552.2
ANKMY2	NM_020319.2
ANKRA2	NM_023039.4
ANKRD1	NM_014391.2
ANKRD10	NM_017664.2
ANKRD11	NM_013275.5
ANKRD12	NM_015208.4
ANKRD13A	NM_033121.1
ANKRD13B	NM_152345.4
ANKRD13C	NM_030816.4
ANKRD13D	NM_207354.2
ANKRD16	NM_019046.2
ANKRD17	NM_032217.3
ANKRD18A	NM_147195.2
ANKRD18B	NM_001244752.1
ANKRD2	NM_020349.2
ANKRD20A2	NM_001012421.1
ANKRD20A3	NM_001012419.2
ANKRD20A4	NM_001098805.1
ANKRD22	NM_144590.2
ANKRD23	NM_144994.7
ANKRD24	NM_133475.1
ANKRD26	NM_014915.2
ANKRD27	NM_032139.2
ANKRD28	NM_015199.3
ANKRD29	NM_173505.2
ANKRD30A	NM_052997.2
ANKRD30B	NM_001145029.1
ANKRD31	NM_001164443.1
ANKRD32	NM_032290.3
ANKRD33	NM_182608.3
ANKRD33B	NM_001164440.1
ANKRD34A	NM_001039888.3
ANKRD34B	NM_001004441.2
ANKRD34C	NM_001146341.1
ANKRD35	NM_144698.4
ANKRD36	NM_001164315.1
ANKRD36B	NM_025190
ANKRD37	NM_181726.2
ANKRD39	NM_016466.5
ANKRD40	NM_052855.3
ANKRD42	NM_182603.2
ANKRD44	NM_001195144.1
ANKRD45	NM_198493.2
ANKRD46	NM_198401.3
ANKRD49	NM_017704.2
ANKRD5	NM_198798.1
ANKRD50	NM_020337.2
ANKRD52	NM_173595.3
ANKRD53	NM_001115116.1
ANKRD54	NM_138797.2
ANKRD55	NM_024669.2
ANKRD6	NM_001242809.1
ANKRD63	NM_001190479.1
ANKRD65	NM_001145210.2
ANKRD7	NM_019644.3
ANKRD9	NM_152326.2
ANKS1A	NM_015245.2
ANKS1B	NM_152788.4
ANKS3	NM_133450.3
ANKS4B	NM_145865.2
ANKS6	NM_173551.3
ANKUB1	NM_001144960.1
ANKZF1	NM_018089.2
ANLN	NM_018685.2
ANO1	NM_018043.5
ANO10	NM_018075.3
ANO2	NM_020373
ANO3	NM_031418.2
ANO4	NM_178826.3
ANO5	NM_213599.2
ANO6	NM_001204803.1
ANO7	NM_001001891.3
ANO8	NM_020959.2
